Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,0.107500,0.107500,0.107500,0.107500,0.107500,0
2013-01-03,0.107500,0.107500,0.107500,0.107500,0.107500,0
2013-01-04,0.107500,0.107500,0.107500,0.107500,0.107500,0
2013-01-06,null,null,null,null,null,null
2013-01-07,0.107500,0.107500,0.107500,0.107500,0.107500,0
2013-01-08,0.107500,0.107500,0.107500,0.107500,0.107500,0
2013-01-09,0.107500,0.107500,0.107500,0.107500,0.107500,0
2013-01-10,0.107500,0.107500,0.107500,0.107500,0.107500,0
2013-01-11,0.107500,0.107500,0.107500,0.107500,0.107500,0
2013-01-13,null,null,null,null,null,null
2013-01-14,0.110000,0.110000,0.110000,0.110000,0.110000,0
2013-01-15,0.110000,0.110000,0.110000,0.110000,0.110000,0
2013-01-16,0.112500,0.112500,0.112500,0.112500,0.112500,0
2013-01-17,0.112500,0.112500,0.112500,0.112500,0.112500,0
2013-01-18,0.115000,0.115000,0.115000,0.115000,0.115000,0
2013-01-20,null,null,null,null,null,null
2013-01-22,0.111000,0.111000,0.111000,0.111000,0.111000,0
2013-01-23,0.111000,0.111000,0.111000,0.111000,0.111000,0
2013-01-24,0.112500,0.112500,0.112500,0.112500,0.112500,0
2013-01-25,0.112500,0.112500,0.112500,0.112500,0.112500,0
2013-01-27,null,null,null,null,null,null
2013-01-28,0.112500,0.112500,0.112500,0.112500,0.112500,0
2013-01-29,0.113800,0.113800,0.113800,0.113800,0.113800,0
2013-01-30,0.113800,0.113800,0.113800,0.113800,0.113800,0
2013-01-31,0.113800,0.113800,0.113800,0.113800,0.113800,0
2013-02-01,0.112500,0.112500,0.112500,0.112500,0.112500,0
2013-02-03,null,null,null,null,null,null
2013-02-04,0.112500,0.112500,0.112500,0.112500,0.112500,0
2013-02-05,0.112500,0.112500,0.112500,0.112500,0.112500,0
2013-02-06,0.112500,0.112500,0.112500,0.112500,0.112500,0
2013-02-07,0.113000,0.113000,0.113000,0.113000,0.113000,0
2013-02-08,0.113000,0.113000,0.113000,0.113000,0.113000,0
2013-02-10,null,null,null,null,null,null
2013-02-11,0.113000,0.113000,0.113000,0.113000,0.113000,0
2013-02-12,0.116500,0.116500,0.116500,0.116500,0.116500,0
2013-02-13,0.116500,0.116500,0.116500,0.116500,0.116500,0
2013-02-14,0.116500,0.116500,0.116500,0.116500,0.116500,0
2013-02-15,0.116500,0.116500,0.116500,0.116500,0.116500,0
2013-02-17,null,null,null,null,null,null
2013-02-19,0.113500,0.113500,0.113500,0.113500,0.113500,0
2013-02-20,0.113500,0.113500,0.113500,0.113500,0.113500,0
